Father pid is: 2130
=========================No.112: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2618657, reason: 5 =========================
=========================No.113: prev_pid: 1107,next_pid: 0, prev_policy: 0, next_policy: 0, time: 2618657, reason: 5 =========================
=========================No.114: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2618663, reason: 6 =========================
=========================No.115: prev_pid: 1005,next_pid: 0, prev_policy: 0, next_policy: 0, time: 2618663, reason: 5 =========================
=========================No.116: prev_pid: 0,next_pid: 1005, prev_policy: 0, next_policy: 0, time: 2618675, reason: 6 =========================
=========================No.117: prev_pid: 1005,next_pid: 1107, prev_policy: 0, next_policy: 0, time: 2618675, reason: 5 =========================
=========================No.118: prev_pid: 1122,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619065, reason: 1 =========================
=========================No.119: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619065, reason: 5 =========================
=========================No.120: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619066, reason: 5 =========================
=========================No.121: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619066, reason: 5 =========================
=========================No.122: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619067, reason: 7 =========================
=========================No.123: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619067, reason: 5 =========================
=========================No.124: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619068, reason: 5 =========================
=========================No.125: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619068, reason: 5 =========================
=========================No.126: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619068, reason: 5 =========================
=========================No.127: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619068, reason: 5 =========================
=========================No.128: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.129: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.130: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.131: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.132: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.133: prev_pid: 2130,next_pid: 437, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
=========================No.134: prev_pid: 437,next_pid: 2130, prev_policy: 0, next_policy: 0, time: 2619069, reason: 5 =========================
